date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202020%2009:50:26%20GMT	http://sniper.htb/robots.txt		(from )
19:48:17	2635/2635	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2009:50:27%20GMT	http://sniper.htb/	./output.httrack/sniper.htb/index.html	(from )
19:48:18	2874/2874	---M--	200	added ('OK')	text/css	etag:%220c67d99c4f0d41:0%22	http://sniper.htb/css/style.css	./output.httrack/sniper.htb/css/style.css	(from http://sniper.htb/)
19:48:19	4093/4093	---M--	200	added ('OK')	image/png	etag:%220cbe949c1f0d41:0%22	http://sniper.htb/images/icon.png	./output.httrack/sniper.htb/images/icon.png	(from http://sniper.htb/)
19:48:24	5704/5704	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2009:50:32%20GMT	http://sniper.htb/blog/index.php	./output.httrack/sniper.htb/blog/index.html	(from http://sniper.htb/)
19:48:26	64448/64448	---M--	200	added ('OK')	image/jpeg	etag:%220eddc60c2f0d41:0%22	http://sniper.htb/images/car.jpg	./output.httrack/sniper.htb/images/car.jpg	(from http://sniper.htb/)
19:48:28	5188/5188	---M--	200	added ('OK')	image/png	etag:%22055939bc3f0d41:0%22	http://sniper.htb/images/service.png	./output.httrack/sniper.htb/images/service.png	(from http://sniper.htb/)
19:48:28	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Jun%202020%2009:50:36%20GMT	http://sniper.htb/user/index.php	./output.httrack/sniper.htb/user/index.6.delayed	(from http://sniper.htb/)
19:48:30	5456/5456	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2009:50:37%20GMT	http://sniper.htb/user/login.php	./output.httrack/sniper.htb/user/login.html	(from http://sniper.htb/)
19:48:32	75922/75922	---M--	200	added ('OK')	image/jpeg	etag:%2208651cc3f0d41:0%22	http://sniper.htb/images/delivery.jpg	./output.httrack/sniper.htb/images/delivery.jpg	(from http://sniper.htb/)
19:48:32	11390/11390	---M--	200	added ('OK')	image/png	etag:%220b7a4cdc3f0d41:0%22	http://sniper.htb/images/user.png	./output.httrack/sniper.htb/images/user.png	(from http://sniper.htb/)
19:48:32	203/203	---M--	200	added ('OK')	application/javascript	etag:%220282dba92f0d41:0%22	http://sniper.htb/js/index.js	./output.httrack/sniper.htb/js/index.js	(from http://sniper.htb/)
19:48:33	5273/5273	---M--	200	added ('OK')	text/css	etag:%2208976242aefd41:0%22	http://sniper.htb/blog/css/style.css	./output.httrack/sniper.htb/blog/css/style.css	(from http://sniper.htb/blog/index.php)
19:48:34	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Jun%202020%2009:50:44%20GMT	http://sniper.htb/blog?lang=blog-en.php	./output.httrack/sniper.htb/blog.bfa6d.delayed	(from http://sniper.htb/blog/index.php)
19:48:35	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Jun%202020%2009:50:45%20GMT	http://sniper.htb/blog?lang=blog-es.php	./output.httrack/sniper.htb/blog.c2916.delayed	(from http://sniper.htb/blog/index.php)
19:48:36	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Jun%202020%2009:50:46%20GMT	http://sniper.htb/blog?lang=blog-fr.php	./output.httrack/sniper.htb/blog.df7d3.delayed	(from http://sniper.htb/blog/index.php)
19:48:36	5850/5850	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2009:50:46%20GMT	http://sniper.htb/blog/?lang=blog-es.php	./output.httrack/sniper.htb/blog/index2916.html	(from http://sniper.htb/blog/index.php)
19:48:36	5704/5704	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2009:50:46%20GMT	http://sniper.htb/blog/?lang=blog-en.php	./output.httrack/sniper.htb/blog/indexfa6d.html	(from http://sniper.htb/blog/index.php)
19:48:37	165/165	---M--	200	added ('OK')	application/javascript	etag:%220f27c12faeed41:0%22	http://sniper.htb/blog/js/index.js	./output.httrack/sniper.htb/blog/js/index.js	(from http://sniper.htb/blog/index.php)
19:48:37	5852/5852	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2009:50:47%20GMT	http://sniper.htb/blog/?lang=blog-fr.php	./output.httrack/sniper.htb/blog/indexf7d3.html	(from http://sniper.htb/blog/index.php)
19:48:40	32038/32038	---M--	200	added ('OK')	image/x-icon	etag:%2201a283e9954d11:0%22	http://sniper.htb/user/images/icons/favicon.ico	./output.httrack/sniper.htb/user/images/icons/favicon.ico	(from http://sniper.htb/user/login.php)
19:48:42	124962/124962	---M--	200	added ('OK')	text/css	etag:%2202ab38c7212d31:0%22	http://sniper.htb/user/vendor/bootstrap/css/bootstrap.min.css	./output.httrack/sniper.htb/user/vendor/bootstrap/css/bootstrap.min.css	(from http://sniper.htb/user/login.php)
19:48:44	31024/31024	---M--	200	added ('OK')	text/css	etag:%220852ac63bd4d21:0%22	http://sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css	./output.httrack/sniper.htb/user/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://sniper.htb/user/login.php)
19:48:46	70827/70827	---M--	200	added ('OK')	text/css	etag:%220cb35ad731ad11:0%22	http://sniper.htb/user/fonts/iconic/css/material-design-iconic-font.min.css	./output.httrack/sniper.htb/user/fonts/iconic/css/material-design-iconic-font.min.css	(from http://sniper.htb/user/login.php)
19:48:48	23848/23848	---M--	200	added ('OK')	text/css	etag:%22039715a922d31:0%22	http://sniper.htb/user/vendor/animate/animate.css	./output.httrack/sniper.htb/user/vendor/animate/animate.css	(from http://sniper.htb/user/login.php)
19:48:48	19686/19686	---M--	200	added ('OK')	text/css	etag:%220ac72a3117d31:0%22	http://sniper.htb/user/vendor/css-hamburgers/hamburgers.min.css	./output.httrack/sniper.htb/user/vendor/css-hamburgers/hamburgers.min.css	(from http://sniper.htb/user/login.php)
